fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,1.0,1.0,1.319303075749462,1.042271480607087,0.1886911392211914
mean,euclidean,1.0,316.0,1.000231508851765,1.0015185909608,5.353809833526611
mean,euclidean,501.0,1.0,0.967965782282783,0.9866567504697132,0.18007493019104004
mean,euclidean,501.0,316.0,0.9811375492840095,0.9924258623963134,2.757633924484253
mean,cosine,1.0,1.0,1.2610425869214,1.118645275662568,0.17859983444213867
mean,cosine,1.0,316.0,0.9993732148206703,1.0008079892215005,2.7766730785369873
mean,cosine,501.0,1.0,1.1258127942571745,1.066395545983556,0.3010737895965576
mean,cosine,501.0,316.0,0.999775718776968,1.0012198961937764,2.9432461261749268
