fold,fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
1,mean,euclidean,1.0,1.0,1.0510588911905836,1.025211632391373,0.9427180290222168
1,mean,euclidean,1.0,2.0,0.9756231650726426,0.9877363844025604,1.1606659889221191
1,mean,euclidean,1.0,4.0,0.9420478135388874,0.9705914761313781,1.238252878189087
1,mean,euclidean,1.0,8.0,0.9268484814559508,0.9627297032168223,1.810370922088623
1,mean,euclidean,1.0,16.0,0.9202093109622838,0.9592754093388841,2.253386974334717
1,mean,euclidean,1.0,32.0,0.9170596234007512,0.9576323007296439,7.693012237548828
1,mean,euclidean,1.0,63.0,0.9153488403948081,0.956738647904854,15.566318988800049
1,mean,euclidean,1.0,126.0,0.9160753920518762,0.9571182748500188,46.90709710121155
1,mean,euclidean,2.0,1.0,1.090639693072411,1.0443369633755242,1.5383782386779785
1,mean,euclidean,2.0,2.0,0.9807302650808196,0.9903182645396477,1.2980501651763916
1,mean,euclidean,2.0,4.0,0.927447937354319,0.96304098425473,1.2867088317871094
1,mean,euclidean,2.0,8.0,0.9040674938864248,0.950824638872187,1.594357967376709
1,mean,euclidean,2.0,16.0,0.8964330521474849,0.9468014850788337,2.343670129776001
1,mean,euclidean,2.0,32.0,0.8974600909628864,0.9473437026564785,8.261731147766113
1,mean,euclidean,2.0,63.0,0.9032134117140418,0.9503754056761159,14.965960025787354
1,mean,euclidean,2.0,126.0,0.9108632799530488,0.9543915757974024,55.54541778564453
1,mean,euclidean,6.0,1.0,1.0519774847580985,1.0256595364730434,1.3733010292053223
1,mean,euclidean,6.0,2.0,0.9433314038253227,0.9712524923135707,1.0092380046844482
1,mean,euclidean,6.0,4.0,0.8991181374687448,0.9482184017771143,1.0989341735839844
1,mean,euclidean,6.0,8.0,0.8843944472147318,0.9404224833630531,1.3998379707336426
1,mean,euclidean,6.0,16.0,0.8841732779203254,0.9403048856197257,2.0713977813720703
1,mean,euclidean,6.0,32.0,0.8931634289742102,0.9450732400053502,6.72298789024353
1,mean,euclidean,6.0,63.0,0.903382028856755,0.9504641123455189,17.919960021972656
1,mean,euclidean,6.0,126.0,0.9128382614000088,0.9554256964306584,58.646116971969604
1,mean,euclidean,13.0,1.0,1.03038431528641,1.0150784774028114,1.2637689113616943
1,mean,euclidean,13.0,2.0,0.9284118566295133,0.9635413102869608,1.0336840152740479
1,mean,euclidean,13.0,4.0,0.8904866791256733,0.9436560173737426,1.17364501953125
1,mean,euclidean,13.0,8.0,0.8810949893215886,0.9386666017929841,1.5855021476745605
1,mean,euclidean,13.0,16.0,0.8860997347335002,0.9413287070590699,1.9027981758117676
1,mean,euclidean,13.0,32.0,0.8962319629351544,0.9466952851552364,8.620357990264893
1,mean,euclidean,13.0,63.0,0.9074124560614109,0.9525819944033221,17.162578344345093
1,mean,euclidean,13.0,126.0,0.9161015962606297,0.9571319638694706,46.640406131744385
1,mean,euclidean,31.0,1.0,1.0086013083795373,1.0042914459356593,1.5230138301849365
1,mean,euclidean,31.0,2.0,0.9230239395513458,0.9607413489339083,0.9369661808013916
1,mean,euclidean,31.0,4.0,0.8919153110670761,0.9444126804882895,1.033663034439087
1,mean,euclidean,31.0,8.0,0.8865115816669779,0.941547439944997,1.3191580772399902
1,mean,euclidean,31.0,16.0,0.892914168752936,0.9449413573089793,1.7876598834991455
1,mean,euclidean,31.0,32.0,0.9036830513473915,0.9506224546829258,4.020642995834351
1,mean,euclidean,31.0,63.0,0.9140973360739386,0.9560843770682265,14.550588846206665
1,mean,euclidean,31.0,126.0,0.9206391024051922,0.9594994019827173,48.55392289161682
1,mean,euclidean,72.0,1.0,0.9858192286559324,0.9928842977184866,1.6431679725646973
1,mean,euclidean,72.0,2.0,0.9222361040147059,0.9603312470261008,1.0969040393829346
1,mean,euclidean,72.0,4.0,0.8995050252749871,0.948422387586347,1.189457893371582
1,mean,euclidean,72.0,8.0,0.8983726834087646,0.9478252388540647,1.4163429737091064
1,mean,euclidean,72.0,16.0,0.9053630742043889,0.9515056879516742,2.3402669429779053
1,mean,euclidean,72.0,32.0,0.9147700400966147,0.9564361139650753,7.433790922164917
1,mean,euclidean,72.0,63.0,0.9224514121469801,0.9604433414559029,13.84073805809021
1,mean,euclidean,72.0,126.0,0.9262054955337977,0.9623957063151298,45.43211483955383
1,mean,euclidean,169.0,1.0,0.964649584267846,0.9821657621134255,1.3354928493499756
1,mean,euclidean,169.0,2.0,0.9253179271261355,0.96193447132647,1.382234811782837
1,mean,euclidean,169.0,4.0,0.9147349218234369,0.9564177548662701,1.3399169445037842
1,mean,euclidean,169.0,8.0,0.9168855312229366,0.9575413992214313,1.852658987045288
1,mean,euclidean,169.0,16.0,0.9232918444559197,0.9608807649526135,2.178647994995117
1,mean,euclidean,169.0,32.0,0.9289471814889697,0.9638190605549206,6.766653060913086
1,mean,euclidean,169.0,63.0,0.9322950735491129,0.9655542830670438,23.38626527786255
1,mean,euclidean,169.0,126.0,0.9326377949072168,0.9657317406543169,55.1505560874939
1,mean,euclidean,398.0,1.0,0.9474411799198083,0.97336590238194,1.8021423816680908
1,mean,euclidean,398.0,2.0,0.9333478631390105,0.9660993029388907,1.4939930438995361
1,mean,euclidean,398.0,4.0,0.933053501273483,0.9659469453719924,1.608309030532837
1,mean,euclidean,398.0,8.0,0.9365824557373936,0.96777190274227,1.929069995880127
1,mean,euclidean,398.0,16.0,0.9391500161412963,0.9690975266407899,2.4753482341766357
1,mean,euclidean,398.0,32.0,0.9401382634843404,0.9696072728091206,7.841277837753296
