fold,fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
1,mean,euclidean,1.0,1.0,1.0441326671469595,1.021828100585886,1.7129089832305908
1,mean,euclidean,1.0,2.0,0.9771945604572378,0.988531517179517,1.4748878479003906
1,mean,euclidean,1.0,4.0,0.9465220772347754,0.9728936618329752,1.7857811450958252
1,mean,euclidean,1.0,8.0,0.9299047193655825,0.9643156741262596,2.573103189468384
1,mean,euclidean,1.0,16.0,0.9227678026482418,0.9606080379885658,4.618819952011108
1,mean,euclidean,1.0,32.0,0.919603735641815,0.958959715338353,8.558294773101807
1,mean,euclidean,1.0,63.0,0.917472514324175,0.9578478555199542,14.3677339553833
1,mean,euclidean,1.0,126.0,0.9170547464156101,0.957629754349566,60.2687029838562
1,mean,euclidean,2.0,1.0,1.0754414987143845,1.037034955396579,1.505636215209961
1,mean,euclidean,2.0,2.0,0.9818880967517123,0.9909026676478938,1.2492809295654297
1,mean,euclidean,2.0,4.0,0.9372755951942843,0.9681299474731088,1.2233819961547852
1,mean,euclidean,2.0,8.0,0.9167391086788185,0.9574649386159362,1.5874881744384766
1,mean,euclidean,2.0,16.0,0.9120161249166169,0.9549953533481809,2.5815539360046387
1,mean,euclidean,2.0,32.0,0.9135253163870936,0.9557851831803491,8.764146089553833
1,mean,euclidean,2.0,63.0,0.9171100222394833,0.9576586146636407,17.729966163635254
1,mean,euclidean,2.0,126.0,0.9194506411198021,0.9588798887868084,51.55067014694214
1,mean,euclidean,6.0,1.0,1.0761864937264165,1.0373940879561714,1.0652191638946533
1,mean,euclidean,6.0,2.0,0.9785176227828547,0.9892004967562718,0.9564709663391113
1,mean,euclidean,6.0,4.0,0.9311054121843184,0.9649380354117659,1.1312503814697266
1,mean,euclidean,6.0,8.0,0.9087906195587017,0.9533051030801742,1.3301069736480713
1,mean,euclidean,6.0,16.0,0.9000079400348459,0.9486874828070864,1.956146240234375
1,mean,euclidean,6.0,32.0,0.8983281878321395,0.9478017661052017,7.21307897567749
1,mean,euclidean,6.0,63.0,0.9018884876393601,0.9496780968514332,14.021341800689697
1,mean,euclidean,6.0,126.0,0.9087970958444119,0.9533084998280524,55.672147035598755
1,mean,euclidean,13.0,1.0,1.067839790185128,1.0333633389012444,1.2257881164550781
1,mean,euclidean,13.0,2.0,0.973632798189437,0.9867283304889127,0.9863390922546387
1,mean,euclidean,13.0,4.0,0.9286278743010811,0.963653399465327,1.0977871417999268
1,mean,euclidean,13.0,8.0,0.9098239903248136,0.9538469428188223,1.412980079650879
1,mean,euclidean,13.0,16.0,0.9009248754217183,0.949170625030989,2.135446071624756
1,mean,euclidean,13.0,32.0,0.9023065373136523,0.9498981720761717,7.814404010772705
1,mean,euclidean,13.0,63.0,0.9069310312044704,0.9523292661703043,15.520004749298096
1,mean,euclidean,13.0,126.0,0.913744367594728,0.9558997685922557,61.32341694831848
1,mean,euclidean,31.0,1.0,1.0741583811577078,1.0364161235515914,1.5084831714630127
1,mean,euclidean,31.0,2.0,0.972052255393363,0.9859271045028446,1.1427059173583984
1,mean,euclidean,31.0,4.0,0.9254936108555096,0.9620257849223739,1.5073518753051758
1,mean,euclidean,31.0,8.0,0.907858748106029,0.952816219480981,2.404381275177002
1,mean,euclidean,31.0,16.0,0.8991599830616113,0.9482404668973009,5.202527046203613
1,mean,euclidean,31.0,32.0,0.8980159992413934,0.9476370609264886,7.53580904006958
1,mean,euclidean,31.0,63.0,0.9019614087879202,0.9497164886364352,17.131103038787842
1,mean,euclidean,31.0,126.0,0.9084970568456695,0.9531511196267198,56.02468705177307
1,mean,euclidean,72.0,1.0,1.0730972381529438,1.0359040680260618,1.2193727493286133
1,mean,euclidean,72.0,2.0,0.9730962056212797,0.9864563880989771,1.007720947265625
1,mean,euclidean,72.0,4.0,0.9255857950384151,0.9620736952221566,1.0946547985076904
1,mean,euclidean,72.0,8.0,0.906241684573264,0.9519672707468803,1.4545021057128906
1,mean,euclidean,72.0,16.0,0.8976764917920484,0.9474579103010584,1.9404916763305664
1,mean,euclidean,72.0,32.0,0.8960879662094492,0.946619229790653,6.678660869598389
1,mean,euclidean,72.0,63.0,0.8985705355563586,0.9479296047472927,13.714262962341309
1,mean,euclidean,72.0,126.0,0.9030887782014096,0.9503098327395174,44.976778984069824
1,mean,euclidean,169.0,1.0,1.0761902118601994,1.037395880009266,1.2637720108032227
1,mean,euclidean,169.0,2.0,0.9705100391293627,0.9851446792879525,1.0541329383850098
1,mean,euclidean,169.0,4.0,0.9239693055272477,0.9612332211941322,1.2057840824127197
1,mean,euclidean,169.0,8.0,0.9020551296826277,0.9497658288665831,1.4073457717895508
1,mean,euclidean,169.0,16.0,0.8945467208039413,0.9458048005819918,1.8976569175720215
1,mean,euclidean,169.0,32.0,0.8935694787903908,0.9452880401181382,5.402037143707275
1,mean,euclidean,169.0,63.0,0.8958752896030295,0.9465068883019444,13.624878883361816
1,mean,euclidean,169.0,126.0,0.900703856524711,0.949054190510063,45.69139075279236
1,mean,euclidean,398.0,1.0,1.0837220786158641,1.041019730176073,1.3539979457855225
1,mean,euclidean,398.0,2.0,0.9735007893124688,0.9866614360115981,1.1767141819000244
1,mean,euclidean,398.0,4.0,0.9214985376654484,0.9599471535795334,1.28171968460083
1,mean,euclidean,398.0,8.0,0.9011725104004586,0.9493010641521785,1.5717170238494873
1,mean,euclidean,398.0,16.0,0.8931478242588825,0.9450649841460017,2.12257719039917
1,mean,euclidean,398.0,32.0,0.891311312695445,0.9440928517341104,5.6430230140686035
1,mean,euclidean,398.0,63.0,0.8937149636322732,0.9453649896374803,14.658119916915894
1,mean,euclidean,398.0,126.0,0.8986690095081826,0.9479815449196164,47.76976776123047
1,mean,cosine,1.0,1.0,1.8771379920260074,1.3700868556504027,1.2378101348876953
1,mean,cosine,1.0,2.0,1.3404592273234834,1.1577820292799001,0.943079948425293
1,mean,cosine,1.0,4.0,1.3048814329314617,1.1423140693046994,1.0444920063018799
1,mean,cosine,1.0,8.0,1.2423041299203423,1.1145869772791814,1.4188859462738037
1,mean,cosine,1.0,16.0,1.2725550079386396,1.1280757988444923,1.878875970840454
1,mean,cosine,1.0,32.0,1.2750015539568325,1.129159667167063,6.764502048492432
1,mean,cosine,1.0,63.0,1.2955933010820708,1.1382413193528298,13.674913167953491
1,mean,cosine,1.0,126.0,1.3411235230245544,1.158068876632368,44.74795389175415
1,mean,cosine,2.0,1.0,1.717231024326347,1.3104316175697026,1.2583260536193848
1,mean,cosine,2.0,2.0,1.428456581855236,1.195180564540453,0.9511973857879639
1,mean,cosine,2.0,4.0,1.370648421885295,1.1707469504061478,1.069457769393921
1,mean,cosine,2.0,8.0,1.3243294201652933,1.150795125191836,1.3195021152496338
1,mean,cosine,2.0,16.0,1.3000248964696737,1.1401863428710561,1.7885921001434326
1,mean,cosine,2.0,32.0,1.292079835062568,1.136696896741857,4.376003742218018
1,mean,cosine,2.0,63.0,1.2900668229391183,1.1358110859377621,13.918475151062012
1,mean,cosine,2.0,126.0,1.2956890145203022,1.1382833630165654,45.62089800834656
1,mean,cosine,6.0,1.0,1.5282691470028364,1.236231833841386,1.2374250888824463
1,mean,cosine,6.0,2.0,1.3747166941317952,1.1724831317045867,0.9303281307220459
1,mean,cosine,6.0,4.0,1.279534448592509,1.1311650845886771,1.0705289840698242
1,mean,cosine,6.0,8.0,1.2456642615735634,1.1160933032563018,1.3177509307861328
1,mean,cosine,6.0,16.0,1.228858057703227,1.1085387037461647,1.806567907333374
1,mean,cosine,6.0,32.0,1.230033196114616,1.1090686165042343,4.164726972579956
1,mean,cosine,6.0,63.0,1.2413386190053282,1.1141537681152132,12.483898878097534
1,mean,cosine,6.0,126.0,1.2652618825704496,1.1248386028984112,43.11362409591675
1,mean,cosine,13.0,1.0,1.405628323670576,1.185591971831193,1.388413906097412
1,mean,cosine,13.0,2.0,1.2378879328372994,1.1126041222453291,0.9782679080963135
1,mean,cosine,13.0,4.0,1.157468295320671,1.075857005052563,1.0749428272247314
1,mean,cosine,13.0,8.0,1.1359459542349046,1.0658076534886136,1.3568542003631592
1,mean,cosine,13.0,16.0,1.1425785845904595,1.0689146760104191,1.8597381114959717
1,mean,cosine,13.0,32.0,1.1750577608053059,1.0840008121792648,4.236922979354858
1,mean,cosine,13.0,63.0,1.2007352293741593,1.095780648384593,15.165553092956543
1,mean,cosine,13.0,126.0,1.2416310023247499,1.1142849735703833,45.285593032836914
1,mean,cosine,31.0,1.0,1.311700877121994,1.1452951048188384,1.2221219539642334
1,mean,cosine,31.0,2.0,1.166923832617975,1.0802424878785202,0.9555718898773193
