fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,32.0,4.0,1.1172702203267435,1.0659755916125402,0.6611309051513672
mean,euclidean,32.0,5.0,1.1138785090827619,1.0614957160140026,0.7034320831298828
mean,euclidean,32.0,7.0,1.104137600264438,1.0561077249902164,0.7844040393829346
mean,euclidean,32.0,10.0,1.1056847083418508,1.0582030498818036,0.9132599830627441
mean,euclidean,32.0,14.0,1.1099479968334722,1.0613584336094501,1.088366985321045
mean,euclidean,32.0,19.0,1.1195826628087786,1.0646208586981452,1.61590576171875
mean,euclidean,32.0,27.0,1.1321242203206363,1.0685242738510212,1.783668041229248
mean,euclidean,32.0,37.0,1.1437591135342866,1.0729610492667216,4.804336786270142
mean,euclidean,32.0,52.0,1.1621499902495642,1.0832076450364134,6.514014959335327
mean,euclidean,32.0,72.0,1.1784340959831703,1.091634627738583,7.885724067687988
mean,euclidean,32.0,100.0,1.1995838915708608,1.101340313642782,13.043699026107788
mean,euclidean,52.0,1.0,1.2906210473613693,1.1440204682907682,0.7219510078430176
mean,euclidean,52.0,2.0,1.1422661449454035,1.0783305550019873,0.5521399974822998
mean,euclidean,52.0,3.0,1.0915221741193117,1.0540679980336218,0.62245774269104
mean,euclidean,52.0,4.0,1.0749626240808143,1.0534157942415479,0.6627299785614014
mean,euclidean,52.0,5.0,1.0695906594419762,1.0501582421955635,0.7139577865600586
mean,euclidean,52.0,7.0,1.063231642131531,1.0453143640561586,0.7858049869537354
mean,euclidean,52.0,10.0,1.067901082814128,1.0428741181166603,0.9004380702972412
mean,euclidean,52.0,14.0,1.0798502260286797,1.0517448551248265,1.051279067993164
mean,euclidean,52.0,19.0,1.093013208288797,1.0589216665410723,1.2285568714141846
mean,euclidean,52.0,27.0,1.108912726262909,1.067617593063235,1.5460898876190186
mean,euclidean,52.0,37.0,1.1254992064420064,1.074315514958304,3.4750277996063232
mean,euclidean,52.0,52.0,1.1434248354650862,1.0817376547075324,4.909548044204712
mean,euclidean,52.0,72.0,1.1663984731342674,1.0914921443654946,9.092570781707764
mean,euclidean,52.0,100.0,1.1908501970303473,1.1024678218984696,14.186935663223267
