fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,2.0,72.0,1.3145298214878163,1.1302276119798775,0.4543449878692627
mean,euclidean,2.0,100.0,1.3291400563696094,1.1342779000915282,0.5010519027709961
mean,euclidean,3.0,1.0,1.7583566933719865,1.3100325724843809,0.14469504356384277
mean,euclidean,3.0,2.0,1.4883887787863395,1.1824405728409788,0.15215015411376953
mean,euclidean,3.0,3.0,1.3943747201433803,1.149831797485865,0.1696479320526123
mean,euclidean,3.0,4.0,1.3449838927500017,1.1282456148043116,0.19301295280456543
mean,euclidean,3.0,5.0,1.314787442746531,1.1218997298217044,0.19133496284484863
mean,euclidean,3.0,7.0,1.3007339183779671,1.1170138038308584,0.16958904266357422
mean,euclidean,3.0,10.0,1.2789545121025332,1.10735560849521,0.1785447597503662
mean,euclidean,3.0,14.0,1.2730617334386027,1.1097045957277594,0.20327210426330566
mean,euclidean,3.0,19.0,1.2686700281020795,1.1114335196575547,0.2076878547668457
mean,euclidean,3.0,27.0,1.266703252677231,1.1103202184011216,0.2383890151977539
mean,euclidean,3.0,37.0,1.2717343352175337,1.1146346760746633,0.26729488372802734
mean,euclidean,3.0,52.0,1.2756200543763894,1.1171437412385452,0.3290879726409912
mean,euclidean,3.0,72.0,1.2859381313041118,1.1198218660291837,0.44704580307006836
mean,euclidean,3.0,100.0,1.3050750924479297,1.1261606925296648,0.4846358299255371
mean,euclidean,4.0,1.0,1.6734766906464067,1.2776636381469593,0.19551515579223633
mean,euclidean,4.0,2.0,1.4401754382377359,1.1884117486121335,0.18935394287109375
mean,euclidean,4.0,3.0,1.3687839321174637,1.1558015676234912,0.1811058521270752
mean,euclidean,4.0,4.0,1.329945498885447,1.1449805262023656,0.24026703834533691
mean,euclidean,4.0,5.0,1.3065903522458746,1.128824166480364,0.17690706253051758
mean,euclidean,4.0,7.0,1.270922426874303,1.1112844163754254,0.259232759475708
mean,euclidean,4.0,10.0,1.2601779069051176,1.1068793742396876,0.23725509643554688
mean,euclidean,4.0,14.0,1.2529819428895448,1.095935272527401,0.26927685737609863
mean,euclidean,4.0,19.0,1.2489116076710123,1.0953772871920668,0.23448514938354492
mean,euclidean,4.0,27.0,1.2527908191728323,1.0987793736558267,0.24057698249816895
mean,euclidean,4.0,37.0,1.2570102895891662,1.0967732122960248,0.3440220355987549
mean,euclidean,4.0,52.0,1.265768558927593,1.103303102938756,0.38601112365722656
mean,euclidean,4.0,72.0,1.2816322399726887,1.1146792009895898,0.5134508609771729
mean,euclidean,4.0,100.0,1.2988321171357118,1.121797462809551,0.5102419853210449
mean,euclidean,7.0,1.0,1.6020655182368135,1.2558688953027783,0.17574214935302734
mean,euclidean,7.0,2.0,1.4103441093479716,1.196133344675834,0.15046906471252441
mean,euclidean,7.0,3.0,1.3554836616976558,1.1761166454084664,0.1506052017211914
mean,euclidean,7.0,4.0,1.3144173997826576,1.1450910890014758,0.18819308280944824
mean,euclidean,7.0,5.0,1.2889371207194336,1.1251740315144094,0.17622995376586914
mean,euclidean,7.0,7.0,1.2665228890087001,1.1198862323323204,0.19553208351135254
mean,euclidean,7.0,10.0,1.241980124072584,1.101603356896536,0.1857459545135498
mean,euclidean,7.0,14.0,1.2424661070885614,1.1004295919372231,0.22923016548156738
mean,euclidean,7.0,19.0,1.2434474033550829,1.0952175026157571,0.2210390567779541
mean,euclidean,7.0,27.0,1.2510727947622888,1.1073729831618422,0.2678208351135254
mean,euclidean,7.0,37.0,1.2569686475402162,1.1089302542655797,0.3042590618133545
mean,euclidean,7.0,52.0,1.2734163247908135,1.1158368940581658,0.3689730167388916
mean,euclidean,7.0,72.0,1.2928260438282735,1.1252968530177585,0.5278589725494385
mean,euclidean,7.0,100.0,1.3137558633720436,1.13048899289653,0.965886116027832
mean,euclidean,12.0,1.0,1.5653792441617376,1.2481262726378226,0.15730023384094238
mean,euclidean,12.0,2.0,1.3256263429371447,1.1563173424777913,0.1522059440612793
mean,euclidean,12.0,3.0,1.2575482531402364,1.122180240829563,0.14624309539794922
mean,euclidean,12.0,4.0,1.228740602417637,1.1045661651830467,0.16262483596801758
mean,euclidean,12.0,5.0,1.2159463548677818,1.0973913802902364,0.16049885749816895
mean,euclidean,12.0,7.0,1.207907899026128,1.0864079961904916,0.16794824600219727
mean,euclidean,12.0,10.0,1.2176024526272493,1.08549002723993,0.17386603355407715
mean,euclidean,12.0,14.0,1.2170351514825763,1.086709813781579,0.18449783325195312
mean,euclidean,12.0,19.0,1.2262028668383447,1.0933190902353003,0.1984250545501709
mean,euclidean,12.0,27.0,1.2387932060877187,1.0961144102963292,0.22733211517333984
mean,euclidean,12.0,37.0,1.2527430234357229,1.1030334713345264,0.2530710697174072
mean,euclidean,12.0,52.0,1.2738342586762381,1.1116044215322105,0.30941009521484375
mean,euclidean,12.0,72.0,1.2983469040286137,1.1210432111185276,0.36420488357543945
mean,euclidean,12.0,100.0,1.3332377808871443,1.1377097647912109,0.4358022212982178
mean,euclidean,19.0,1.0,1.4812578940112897,1.203260245989006,0.15305113792419434
mean,euclidean,19.0,2.0,1.2957566746999993,1.141295975564718,0.14436888694763184
mean,euclidean,19.0,3.0,1.2450453150883554,1.1164271196230873,0.14691996574401855
mean,euclidean,19.0,4.0,1.22388831846673,1.113988323027002,0.15903210639953613
mean,euclidean,19.0,5.0,1.1995433450021342,1.1017016263848864,0.1586449146270752
mean,euclidean,19.0,7.0,1.18553579549916,1.0869860456137115,0.16446423530578613
mean,euclidean,19.0,10.0,1.1848132726504488,1.084690077233252,0.17817401885986328
mean,euclidean,19.0,14.0,1.1995504032399604,1.0942557198336396,0.18636012077331543
mean,euclidean,19.0,19.0,1.2160620981310908,1.0965564319012682,0.20275092124938965
mean,euclidean,19.0,27.0,1.2286939536610948,1.1038825966373351,0.22767210006713867
mean,euclidean,19.0,37.0,1.2501289708990424,1.1099624767442857,0.2568843364715576
mean,euclidean,19.0,52.0,1.2805114789559804,1.121738481087794,0.3029906749725342
mean,euclidean,19.0,72.0,1.317841911849602,1.1385789068317744,0.3642699718475342
mean,euclidean,19.0,100.0,1.3676928100012113,1.153926008852978,0.4314150810241699
mean,euclidean,32.0,1.0,1.4373944060491157,1.2119517902411598,0.15268206596374512
mean,euclidean,32.0,2.0,1.2409884845567984,1.1293095376340805,0.146439790725708
mean,euclidean,32.0,3.0,1.1932159294299303,1.0957093363782946,0.1499309539794922
mean,euclidean,32.0,4.0,1.1736219506594643,1.0858594078154744,0.15448689460754395
mean,euclidean,32.0,5.0,1.1645233451123782,1.0818127518604097,0.15966200828552246
mean,euclidean,32.0,7.0,1.1566790553221018,1.0757064973607928,0.16754603385925293
mean,euclidean,32.0,10.0,1.1558514760016234,1.0741441622265377,0.17303895950317383
mean,euclidean,32.0,14.0,1.1645173173877623,1.0746999056946995,0.18520879745483398
mean,euclidean,32.0,19.0,1.1802234792942627,1.0829954925332719,0.20180916786193848
mean,euclidean,32.0,27.0,1.1984431416960726,1.0973414143952755,0.22246909141540527
mean,euclidean,32.0,37.0,1.2208373817031695,1.10603796094655,0.2570939064025879
mean,euclidean,32.0,52.0,1.2442914056111474,1.1174028994813403,0.31110620498657227
mean,euclidean,32.0,72.0,1.2804194524914472,1.1308437792893993,0.36581897735595703
mean,euclidean,32.0,100.0,1.3334648753918301,1.1422738364270741,0.4288978576660156
mean,euclidean,52.0,1.0,1.3889973912065425,1.1819982726679938,0.17384815216064453
mean,euclidean,52.0,2.0,1.2236832107460924,1.1252955336509738,0.15622305870056152
mean,euclidean,52.0,3.0,1.1806812051524078,1.095205791118073,0.15595102310180664
mean,euclidean,52.0,4.0,1.1659639922956415,1.0843034566533565,0.16355204582214355
mean,euclidean,52.0,5.0,1.1594480941596592,1.0829588045076979,0.17833399772644043
mean,euclidean,52.0,7.0,1.1661756511013504,1.0833008107241835,0.17628812789916992
mean,euclidean,52.0,10.0,1.1809271453268657,1.0959154245196185,0.17987298965454102
mean,euclidean,52.0,14.0,1.1942122217681608,1.107175902212342,0.2011549472808838
mean,euclidean,52.0,19.0,1.2080956629913708,1.1087233937938714,0.21061372756958008
mean,euclidean,52.0,27.0,1.2314234419293455,1.1154524116177595,0.33432984352111816
mean,euclidean,52.0,37.0,1.2589987666400764,1.1248268454385744,0.41233181953430176
mean,euclidean,52.0,52.0,1.2956697353467028,1.1351138492816186,0.400238037109375
mean,euclidean,52.0,72.0,1.34479193200688,1.1464034080850862,0.4332101345062256
mean,euclidean,52.0,100.0,1.4113509716496342,1.1717549123218214,0.5518357753753662
mean,euclidean,85.0,1.0,1.375635552085186,1.172758358259826,0.15946078300476074
mean,euclidean,85.0,2.0,1.2162095957064263,1.1155193665137273,0.15498685836791992
mean,euclidean,85.0,3.0,1.1847755516915361,1.0895482988990093,0.158128023147583
mean,euclidean,85.0,4.0,1.1756100268828942,1.0862560761528768,0.16992688179016113
mean,euclidean,85.0,5.0,1.1713395815322223,1.081776644958935,0.17010998725891113
mean,euclidean,85.0,7.0,1.1777480561296267,1.0858549972375582,0.17844104766845703
mean,euclidean,85.0,10.0,1.1799169854866238,1.0902375228285162,0.18812775611877441
mean,euclidean,85.0,14.0,1.1930523304269989,1.0955213574690639,0.20491433143615723
mean,euclidean,85.0,19.0,1.2083621411718308,1.1030691261372185,0.21137619018554688
mean,euclidean,85.0,27.0,1.2304013864560832,1.1116237282175943,0.24094891548156738
mean,euclidean,85.0,37.0,1.26130970855198,1.1176391848263871,0.2726149559020996
mean,euclidean,85.0,52.0,1.3035399985443241,1.1320822411135631,0.3209390640258789
mean,euclidean,85.0,72.0,1.3601181195530985,1.1435150429580672,0.3854410648345947
mean,euclidean,85.0,100.0,1.4368103762578988,1.1658622018796025,0.5118777751922607
mean,euclidean,139.0,1.0,1.4096634025752635,1.195808468355212,0.1742870807647705
mean,euclidean,139.0,2.0,1.2549376344405847,1.127234837291904,0.17930197715759277
mean,euclidean,139.0,3.0,1.2025107164932063,1.1140019023460663,0.18113088607788086
mean,euclidean,139.0,4.0,1.1794405240413504,1.1036237434295662,0.1889650821685791
mean,euclidean,139.0,5.0,1.179496413318051,1.0947395863231266,0.2343580722808838
mean,euclidean,139.0,7.0,1.1879081164383096,1.0931510141494707,0.21810197830200195
mean,euclidean,139.0,10.0,1.193624517037388,1.0880798904082702,0.2178659439086914
mean,euclidean,139.0,14.0,1.211189004430108,1.0908078017276825,0.2664041519165039
mean,euclidean,139.0,19.0,1.2358494077272333,1.106747224480328,0.2708132266998291
mean,euclidean,139.0,27.0,1.2643107419578083,1.1137550101256328,0.2536489963531494
mean,euclidean,139.0,37.0,1.299997835590532,1.119903248917913,0.2836110591888428
mean,euclidean,139.0,52.0,1.3468628474461104,1.135169488705654,0.32694101333618164
mean,euclidean,139.0,72.0,1.420149142188055,1.1564081855401471,0.3890719413757324
mean,euclidean,139.0,100.0,1.4965103083052134,1.1839951054388818,0.462094783782959
mean,euclidean,228.0,1.0,1.3981311918881247,1.2139626050130812,0.21689915657043457
mean,euclidean,228.0,2.0,1.241758286820999,1.1413072880271566,0.19789695739746094
mean,euclidean,228.0,3.0,1.2051782377874964,1.116520830358705,0.17849278450012207
mean,euclidean,228.0,4.0,1.1856441618787108,1.09763847136845,0.2604947090148926
mean,euclidean,228.0,5.0,1.1824575648062625,1.0889780284605148,0.2234821319580078
mean,euclidean,228.0,7.0,1.1874971747598426,1.0885375454552304,0.3055400848388672
mean,euclidean,228.0,10.0,1.1938983635392577,1.0895186449620429,0.28943681716918945
mean,euclidean,228.0,14.0,1.2088985008710043,1.0973426305256335,0.2638380527496338
mean,euclidean,228.0,19.0,1.2319130476788975,1.1047116268554777,0.3117179870605469
mean,euclidean,228.0,27.0,1.2734445962622125,1.1156438999809537,0.29089784622192383
mean,euclidean,228.0,37.0,1.3192939710814433,1.129949208310721,0.4108901023864746
